Subject,Relation,Object
U.S.,related_to,Naji al-Otari
Stephen Seche,related_to,Syrian
Stephen Seche,related_to,Prime
Stephen Seche,related_to,Naji al-Otari
Syrian,related_to,Prime
Syrian,related_to,Naji al-Otari
Prime,related_to,Naji al-Otari
Prophet,related_to,Danish
Prophet,related_to,Muslim
Danish,related_to,Muslim
Denmark,related_to,Norway
Denmark,related_to,Syrian
Norway,related_to,Syrian
U.S.,related_to,State
U.S.,related_to,Condoleezza Rice
U.S.,related_to,Damascus
State,related_to,Condoleezza Rice
State,related_to,Damascus
Condoleezza Rice,related_to,Damascus
"February 5 , 2006",related_to,Syrian
Turkish,related_to,Iraq
Turkish,related_to,Thursday
Turkish,related_to,Kurdistan Workers ' Party
Turkish,related_to,PKK
Turkish,related_to,Zap
Turkish,related_to,Turkish
Thursday,related_to,Kurdistan Workers ' Party
Thursday,related_to,PKK
Thursday,related_to,Zap
Thursday,related_to,Turkish
Kurdistan Workers ' Party,related_to,PKK
Kurdistan Workers ' Party,related_to,Zap
Kurdistan Workers ' Party,related_to,Turkish
PKK,related_to,Zap
PKK,related_to,Turkish
Zap,related_to,Turkish
Turkey,related_to,PKK
Turkey,related_to,Turkey
Turkey,related_to,Iraq
PKK,related_to,Turkey
PKK,related_to,Iraq
Turkey,related_to,Iraq
PKK,related_to,German
PKK,related_to,Turkey 's Mount Ararat
PKK,related_to,July 8
German,related_to,Turkey 's Mount Ararat
German,related_to,July 8
Turkey 's Mount Ararat,related_to,July 8
Turkish,related_to,PKK
Turkish,related_to,five-day
PKK,related_to,five-day
PKK,related_to,Turkey
PKK,related_to,25
Turkey,related_to,25
European Union,related_to,United States
European Union,related_to,Turkey
European Union,related_to,PKK
United States,related_to,Turkey
United States,related_to,PKK
Turkey,related_to,PKK
Nepal,related_to,Saturday
Kapilvastu,related_to,Kathmandu
Nepal,related_to,1996
Nepal,related_to,Himalayan
1996,related_to,Himalayan
King Gyanendra,related_to,six
China,related_to,Iraq
China,related_to,Chinese
China,related_to,Iraqi
Iraq,related_to,Chinese
Iraq,related_to,Iraqi
Chinese,related_to,Iraqi
Arab,related_to,Tuesday
Arab,related_to,"China """
Arab,related_to,Iraq
Tuesday,related_to,"China """
Tuesday,related_to,Iraq
"China """,related_to,Iraq
Chinese,related_to,Iraq
China,related_to,China
China,related_to,Iraqi
China,related_to,Iraqi
April,related_to,Chinese
April,related_to,Fallujah
Chinese,related_to,Fallujah
Turkish,related_to,Israel
Turkish,related_to,Palestinians
Turkish,related_to,Israel
Turkish,related_to,Gaza Strip
Israel,related_to,Palestinians
Israel,related_to,Israel
Israel,related_to,Gaza Strip
Palestinians,related_to,Israel
Palestinians,related_to,Gaza Strip
Israel,related_to,Gaza Strip
Friday,related_to,Israeli
Friday,related_to,Minister Ehud Barak
Friday,related_to,Turkey
Israeli,related_to,Minister Ehud Barak
Israeli,related_to,Turkey
Minister Ehud Barak,related_to,Turkey
Turkey,related_to,Israel
Turkey,related_to,Gaza
Turkey,related_to,Turkish
Israel,related_to,Gaza
Israel,related_to,Turkish
Gaza,related_to,Turkish
Turkey,related_to,Israeli
Israel,related_to,Gaza
Israel,related_to,December of 2008
Israel,related_to,Palestinian
Israel,related_to,Israeli
Gaza,related_to,December of 2008
Gaza,related_to,Palestinian
Gaza,related_to,Israeli
December of 2008,related_to,Palestinian
December of 2008,related_to,Israeli
Palestinian,related_to,Israeli
Palestinians,related_to,Israelis
Cuban,related_to,President Fidel Castro
Cuban,related_to,U.S.
Cuban,related_to,U.S.
President Fidel Castro,related_to,U.S.
President Fidel Castro,related_to,U.S.
U.S.,related_to,U.S.
Cuba,related_to,Granma
Cuba,related_to,Mr. Castro
Cuba,related_to,White House
Cuba,related_to,Luis Posada Carriles
Cuba,related_to,May
Granma,related_to,Mr. Castro
Granma,related_to,White House
Granma,related_to,Luis Posada Carriles
Granma,related_to,May
Mr. Castro,related_to,White House
Mr. Castro,related_to,Luis Posada Carriles
Mr. Castro,related_to,May
White House,related_to,Luis Posada Carriles
White House,related_to,May
Luis Posada Carriles,related_to,May
Mr. Castro,related_to,President Bush
Carriles,related_to,U.S.
Carriles,related_to,Texas
Carriles,related_to,Venezuela
Carriles,related_to,Cuban
U.S.,related_to,Texas
U.S.,related_to,Venezuela
U.S.,related_to,Cuban
Texas,related_to,Venezuela
Texas,related_to,Cuban
Venezuela,related_to,Cuban
Granma,related_to,Mr. Castro
Granma,related_to,two
Mr. Castro,related_to,two
Cuban,related_to,since July
France,related_to,Tuesday
France,related_to,Iran
Tuesday,related_to,Iran
France,related_to,Jean-Baptiste Mattei
France,related_to,U.N. Security Council
France,related_to,Germany
France,related_to,Paris
Jean-Baptiste Mattei,related_to,U.N. Security Council
Jean-Baptiste Mattei,related_to,Germany
Jean-Baptiste Mattei,related_to,Paris
U.N. Security Council,related_to,Germany
U.N. Security Council,related_to,Paris
Germany,related_to,Paris
France,related_to,Germany
France,related_to,Britain
France,related_to,Security Council
Germany,related_to,Britain
Germany,related_to,Security Council
Britain,related_to,Security Council
Russia,related_to,China
Iran,related_to,August 31
Iran,related_to,U.N.
August 31,related_to,U.N.
U.S.,related_to,Iran
Brazilian,related_to,Palestinian
Brazilian,related_to,Israel
Palestinian,related_to,Israel
Brazilian,related_to,Minister Celso Amorim
Brazilian,related_to,Thursday
Brazilian,related_to,Hamas
Brazilian,related_to,- the Islamic
Brazilian,related_to,Palestinian
Brazilian,related_to,Brazil
Minister Celso Amorim,related_to,Thursday
Minister Celso Amorim,related_to,Hamas
Minister Celso Amorim,related_to,- the Islamic
Minister Celso Amorim,related_to,Palestinian
Minister Celso Amorim,related_to,Brazil
Thursday,related_to,Hamas
Thursday,related_to,- the Islamic
Thursday,related_to,Palestinian
Thursday,related_to,Brazil
Hamas,related_to,- the Islamic
Hamas,related_to,Palestinian
Hamas,related_to,Brazil
- the Islamic,related_to,Palestinian
- the Islamic,related_to,Brazil
Palestinian,related_to,Brazil
Amorim,related_to,Hamas
Amorim,related_to,Brazil
Hamas,related_to,Brazil
United States,related_to,Palestinian
United States,related_to,Israel
Palestinian,related_to,Israel
Hamas,related_to,Israel
Iraqis,related_to,Wednesday
Iraqis,related_to,time
Wednesday,related_to,time
Washington,related_to,President Bush
Washington,related_to,Iraqi
Washington,related_to,National Assembly
Washington,related_to,Iraq
President Bush,related_to,Iraqi
President Bush,related_to,National Assembly
President Bush,related_to,Iraq
Iraqi,related_to,National Assembly
Iraqi,related_to,Iraq
National Assembly,related_to,Iraq
Baghdad Convention Center,related_to,Green Zone
North,related_to,Baquba
North,related_to,Iraqi
Baquba,related_to,Iraqi
U.S.,related_to,American
U.S.,related_to,Baghdad
American,related_to,Baghdad
Evo Morales,related_to,Bolivia
Sunday,related_to,Mr. Morales
Sunday,related_to,Bolivia
Mr. Morales,related_to,Bolivia
La Paz,related_to,Mr.
La Paz,related_to,Morales
La Paz,related_to,Sunday
La Paz,related_to,Chilean
La Paz,related_to,President Ricardo Lagos
La Paz,related_to,Venezuela
La Paz,related_to,President Hugo Chavez
La Paz,related_to,U.S.
La Paz,related_to,State
La Paz,related_to,Thomas Shannon
La Paz,related_to,Bush
La Paz,related_to,Latin America
Mr.,related_to,Morales
Mr.,related_to,Sunday
Mr.,related_to,Chilean
Mr.,related_to,President Ricardo Lagos
Mr.,related_to,Venezuela
Mr.,related_to,President Hugo Chavez
Mr.,related_to,U.S.
Mr.,related_to,State
Mr.,related_to,Thomas Shannon
Mr.,related_to,Bush
Mr.,related_to,Latin America
Morales,related_to,Sunday
Morales,related_to,Chilean
Morales,related_to,President Ricardo Lagos
Morales,related_to,Venezuela
Morales,related_to,President Hugo Chavez
Morales,related_to,U.S.
Morales,related_to,State
Morales,related_to,Thomas Shannon
Morales,related_to,Bush
Morales,related_to,Latin America
Sunday,related_to,Chilean
Sunday,related_to,President Ricardo Lagos
Sunday,related_to,Venezuela
Sunday,related_to,President Hugo Chavez
Sunday,related_to,U.S.
Sunday,related_to,State
Sunday,related_to,Thomas Shannon
Sunday,related_to,Bush
Sunday,related_to,Latin America
Chilean,related_to,President Ricardo Lagos
Chilean,related_to,Venezuela
Chilean,related_to,President Hugo Chavez
Chilean,related_to,U.S.
Chilean,related_to,State
Chilean,related_to,Thomas Shannon
Chilean,related_to,Bush
Chilean,related_to,Latin America
President Ricardo Lagos,related_to,Venezuela
President Ricardo Lagos,related_to,President Hugo Chavez
President Ricardo Lagos,related_to,U.S.
President Ricardo Lagos,related_to,State
President Ricardo Lagos,related_to,Thomas Shannon
President Ricardo Lagos,related_to,Bush
President Ricardo Lagos,related_to,Latin America
Venezuela,related_to,President Hugo Chavez
Venezuela,related_to,U.S.
Venezuela,related_to,State
Venezuela,related_to,Thomas Shannon
Venezuela,related_to,Bush
Venezuela,related_to,Latin America
President Hugo Chavez,related_to,U.S.
President Hugo Chavez,related_to,State
President Hugo Chavez,related_to,Thomas Shannon
President Hugo Chavez,related_to,Bush
President Hugo Chavez,related_to,Latin America
U.S.,related_to,State
U.S.,related_to,Thomas Shannon
U.S.,related_to,Bush
U.S.,related_to,Latin America
State,related_to,Thomas Shannon
State,related_to,Bush
State,related_to,Latin America
Thomas Shannon,related_to,Bush
Thomas Shannon,related_to,Latin America
Bush,related_to,Latin America
White House,related_to,Congress
White House,related_to,Iraq
White House,related_to,Afghanistan
Congress,related_to,Iraq
Congress,related_to,Afghanistan
Iraq,related_to,Afghanistan
fiscal,related_to,September
"September , 2001",related_to,Defense Department
"September , 2001",related_to,Iraq
"September , 2001",related_to,Afghanistan
Defense Department,related_to,Iraq
Defense Department,related_to,Afghanistan
Iraq,related_to,Afghanistan
Congress,related_to,Wednesday
Congress,related_to,Senate
Wednesday,related_to,Senate
French,related_to,President Jacques Chirac
French,related_to,Afghan
President Jacques Chirac,related_to,Afghan
Monday,related_to,Paris
Monday,related_to,Afghan
Monday,related_to,President Hamid Karzai
Monday,related_to,Sunday
Monday,related_to,three-day
Paris,related_to,Afghan
Paris,related_to,President Hamid Karzai
Paris,related_to,Sunday
Paris,related_to,three-day
Afghan,related_to,President Hamid Karzai
Afghan,related_to,Sunday
Afghan,related_to,three-day
President Hamid Karzai,related_to,Sunday
President Hamid Karzai,related_to,three-day
Sunday,related_to,three-day
France,related_to,Afghanistan
Afghan,related_to,NATO
Afghan,related_to,NATO
NATO,related_to,NATO
Thursday  one,related_to,DRC
Thursday  one,related_to,Somalia
DRC,related_to,Somalia
Security Council,related_to,DRC
Security Council,related_to,MONUC
Security Council,related_to,UN
DRC,related_to,MONUC
DRC,related_to,UN
MONUC,related_to,UN
Ghana,related_to,Mexico
VOA 's,related_to,Mil Arcega
March,related_to,Tibetan
March,related_to,Lhasa
Tibetan,related_to,Lhasa
Beijing Olympics,related_to,China
Stephanie Ho,related_to,Beijing
Palestinian,related_to,Israeli
Palestinian,related_to,Gaza Strip
Israeli,related_to,Gaza Strip
Hassan Madhoun,related_to,al-Aqsa Martyrs Brigades
Hassan Madhoun,related_to,Hamas
Hassan Madhoun,related_to,Fawzi Abu Kara
Hassan Madhoun,related_to,Tuesday
Hassan Madhoun,related_to,Israeli
Hassan Madhoun,related_to,Jabalya
al-Aqsa Martyrs Brigades,related_to,Hamas
al-Aqsa Martyrs Brigades,related_to,Fawzi Abu Kara
al-Aqsa Martyrs Brigades,related_to,Tuesday
al-Aqsa Martyrs Brigades,related_to,Israeli
al-Aqsa Martyrs Brigades,related_to,Jabalya
Hamas,related_to,Fawzi Abu Kara
Hamas,related_to,Tuesday
Hamas,related_to,Israeli
Hamas,related_to,Jabalya
Fawzi Abu Kara,related_to,Tuesday
Fawzi Abu Kara,related_to,Israeli
Fawzi Abu Kara,related_to,Jabalya
Tuesday,related_to,Israeli
Tuesday,related_to,Jabalya
Israeli,related_to,Jabalya
Hamas,related_to,al-Aqsa Martyrs Brigades
Israel,related_to,al-Aqsa
Israel,related_to,2004
Israel,related_to,Israeli
Israel,related_to,Ashdod
al-Aqsa,related_to,2004
al-Aqsa,related_to,Israeli
al-Aqsa,related_to,Ashdod
2004,related_to,Israeli
2004,related_to,Ashdod
Israeli,related_to,Ashdod
Israel,related_to,Gaza
Israel,related_to,Palestinian
Israel,related_to,Israelis
Israel,related_to,Israel
Israel,related_to,October 26
Gaza,related_to,Palestinian
Gaza,related_to,Israelis
Gaza,related_to,Israel
Gaza,related_to,October 26
Palestinian,related_to,Israelis
Palestinian,related_to,Israel
Palestinian,related_to,October 26
Israelis,related_to,Israel
Israelis,related_to,October 26
Israel,related_to,October 26
President Bush,related_to,Europe
President Bush,related_to,Iraq
Europe,related_to,Iraq
Brussels,related_to,five day
Brussels,related_to,Mr. Bush
Brussels,related_to,Germany
Brussels,related_to,Slovakia
five day,related_to,Mr. Bush
five day,related_to,Germany
five day,related_to,Slovakia
Mr. Bush,related_to,Germany
Mr. Bush,related_to,Slovakia
Germany,related_to,Slovakia
Belgian,related_to,U.S.
Mr. Bush,related_to,Sunday
Brussels,related_to,European Union
Brussels,related_to,NATO
Brussels,related_to,Middle East
Brussels,related_to,Iran
European Union,related_to,NATO
European Union,related_to,Middle East
European Union,related_to,Iran
NATO,related_to,Middle East
NATO,related_to,Iran
Middle East,related_to,Iran
Iraq,related_to,French
Iraq,related_to,President Jacques Chirac
Iraq,related_to,German
Iraq,related_to,Chancellor Gerhard Schroeder
Iraq,related_to,Russian
Iraq,related_to,President Vladimir Putin
French,related_to,President Jacques Chirac
French,related_to,German
French,related_to,Chancellor Gerhard Schroeder
French,related_to,Russian
French,related_to,President Vladimir Putin
President Jacques Chirac,related_to,German
President Jacques Chirac,related_to,Chancellor Gerhard Schroeder
President Jacques Chirac,related_to,Russian
President Jacques Chirac,related_to,President Vladimir Putin
German,related_to,Chancellor Gerhard Schroeder
German,related_to,Russian
German,related_to,President Vladimir Putin
Chancellor Gerhard Schroeder,related_to,Russian
Chancellor Gerhard Schroeder,related_to,President Vladimir Putin
Russian,related_to,President Vladimir Putin
President Bush,related_to,Iraq
President Bush,related_to,Prime
President Bush,related_to,Tony Blair
Iraq,related_to,Prime
Iraq,related_to,Tony Blair
Prime,related_to,Tony Blair
Botswana,related_to,1966
Botswana,related_to,2007 - 8
Botswana,related_to,2009
1966,related_to,2007 - 8
1966,related_to,2009
2007 - 8,related_to,2009
Botswana,related_to,2010
Botswana,related_to,Africa
Botswana,related_to,2009
HIV / AIDS,related_to,Botswana
Kyrgyzstan,related_to,Commonwealth of Independent States
Kyrgyzstan,related_to,CIS
Kyrgyzstan,related_to,World Trade Organization
Commonwealth of Independent States,related_to,CIS
Commonwealth of Independent States,related_to,World Trade Organization
CIS,related_to,World Trade Organization
Soviet Union,related_to,December 1991
Soviet Union,related_to,mid-1995
December 1991,related_to,mid-1995
2005,related_to,BAKIEV
Bishkek,related_to,2006
Bishkek,related_to,HIPC
2006,related_to,HIPC
2006,related_to,2007 - 8
GDP,related_to,2007 - 8
GDP,related_to,2009
2007 - 8,related_to,2009
BAKIEV,related_to,"April , 2010"
Cape Verde,related_to,WTO
Cape Verde,related_to,July 2008
WTO,related_to,July 2008
Falkland Islands,related_to,British
Falkland Islands,related_to,1908 -
Falkland Islands,related_to,1982
Falkland Islands,related_to,Argentina
British,related_to,1908 -
British,related_to,1982
British,related_to,Argentina
1908 -,related_to,1982
1908 -,related_to,Argentina
1982,related_to,Argentina
Grytviken,related_to,South Georgia
Grytviken,related_to,19th
Grytviken,related_to,20th century
South Georgia,related_to,19th
South Georgia,related_to,20th century
19th,related_to,20th century
Famed explorer Ernest SHACKLETON,related_to,1914
Famed explorer Ernest SHACKLETON,related_to,Antarctica
1914,related_to,Antarctica
20,related_to,later
20,related_to,Antarctic Peninsula
later,related_to,Antarctic Peninsula
1922,related_to,Grytviken
Today,related_to,British
Today,related_to,Antarctic
British,related_to,Antarctic
UK,related_to,1993
Juno,related_to,Juno
midnight,related_to,State Official
midnight,related_to,Dome of the Capitol
State Official,related_to,Dome of the Capitol
United States,related_to,Britain
United States,related_to,Egypt
United States,related_to,al-Qaida
Britain,related_to,Egypt
Britain,related_to,al-Qaida
Egypt,related_to,al-Qaida
CNN,related_to,Mr. Gonzales
CNN,related_to,July 7
CNN,related_to,London
CNN,related_to,July 23
CNN,related_to,Egypt
CNN,related_to,al-Qaida
Mr. Gonzales,related_to,July 7
Mr. Gonzales,related_to,London
Mr. Gonzales,related_to,July 23
Mr. Gonzales,related_to,Egypt
Mr. Gonzales,related_to,al-Qaida
July 7,related_to,London
July 7,related_to,July 23
July 7,related_to,Egypt
July 7,related_to,al-Qaida
London,related_to,July 23
London,related_to,Egypt
London,related_to,al-Qaida
July 23,related_to,Egypt
July 23,related_to,al-Qaida
Egypt,related_to,al-Qaida
Sunday,related_to,'s Washington Post
Sunday,related_to,Osama bin Laden
's Washington Post,related_to,Osama bin Laden
al-Qaida,related_to,Westerners
Friday,related_to,Jesus
Friday,related_to,Jesus
Friday,related_to,Jerusalem
Jesus,related_to,Jerusalem
Jesus,related_to,Easter Sunday
John Paul II,related_to,Roman Catholics -
John Paul II,related_to,Holy Week
John Paul II,related_to,operation
Roman Catholics -,related_to,Holy Week
Roman Catholics -,related_to,operation
Holy Week,related_to,operation
President Bush,related_to,Protestant Christian
President Bush,related_to,Easter greeting Friday
President Bush,related_to,"Jesus """
Protestant Christian,related_to,Easter greeting Friday
Protestant Christian,related_to,"Jesus """
Easter greeting Friday,related_to,"Jesus """
Afghanistan,related_to,London
Tuesday,related_to,2007 -
Tuesday,related_to,2010
2007 -,related_to,2010
Afghan,related_to,President Hamid Karzai
Nepal,related_to,Maoist
July 31,related_to,Bajura
July 31,related_to,Accham
Bajura,related_to,Accham
1996,related_to,Hindu
Afghan,related_to,Pakistan
Afghan,related_to,Afghan
Pakistan,related_to,Afghan
Afghan,related_to,Ministry of Rural Development
Afghan,related_to,Akhtar Kohistani
Afghan,related_to,Chitral
Afghan,related_to,Pakistan
Afghan,related_to,Sunday
Ministry of Rural Development,related_to,Akhtar Kohistani
Ministry of Rural Development,related_to,Chitral
Ministry of Rural Development,related_to,Pakistan
Ministry of Rural Development,related_to,Sunday
Akhtar Kohistani,related_to,Chitral
Akhtar Kohistani,related_to,Pakistan
Akhtar Kohistani,related_to,Sunday
Chitral,related_to,Pakistan
Chitral,related_to,Sunday
Pakistan,related_to,Sunday
Afghan,related_to,Pakistan
Afghan,related_to,past four
Pakistan,related_to,past four
Friday,related_to,Afghanistan
Friday,related_to,northwest Pakistan
Afghanistan,related_to,northwest Pakistan
Zia ul-Haq Ahadi,related_to,Peshawar
September,related_to,Afghanistan
September,related_to,Pakistan
Afghanistan,related_to,Pakistan
U.N. Secretary-General,related_to,Kofi Annan
U.N. Secretary-General,related_to,United Nations
U.N. Secretary-General,related_to,Niger
Kofi Annan,related_to,United Nations
Kofi Annan,related_to,Niger
United Nations,related_to,Niger
Mr. Annan,related_to,Niger
U.N.,related_to,two-day
U.N.,related_to,Niger
two-day,related_to,Niger
Wednesday,related_to,U.N.
Wednesday,related_to,Niamey
U.N.,related_to,Niamey
Tuesday,related_to,Zinder
Iraqi,related_to,Mosul
Iraqi,related_to,U.S.
Mosul,related_to,U.S.
November U.S.-led,related_to,Fallujah
November U.S.-led,related_to,Mosul
Fallujah,related_to,Mosul
Thursday,related_to,U.S. Marine
Thursday,related_to,al-Anbar
U.S. Marine,related_to,al-Anbar
Jordan,related_to,Iraq
Jordan,related_to,January 30
Jordan,related_to,Iraqis
Iraq,related_to,January 30
Iraq,related_to,Iraqis
January 30,related_to,Iraqis
White House,related_to,Vice President Joe Biden
White House,related_to,Bosnia
White House,related_to,Herzegovina
White House,related_to,Serbia
White House,related_to,Kosovo
White House,related_to,later
Vice President Joe Biden,related_to,Bosnia
Vice President Joe Biden,related_to,Herzegovina
Vice President Joe Biden,related_to,Serbia
Vice President Joe Biden,related_to,Kosovo
Vice President Joe Biden,related_to,later
Bosnia,related_to,Herzegovina
Bosnia,related_to,Serbia
Bosnia,related_to,Kosovo
Bosnia,related_to,later
Herzegovina,related_to,Serbia
Herzegovina,related_to,Kosovo
Herzegovina,related_to,later
Serbia,related_to,Kosovo
Serbia,related_to,later
Kosovo,related_to,later
Friday,related_to,Mr. Biden
Friday,related_to,vice
Friday,related_to,U.S.
Mr. Biden,related_to,vice
Mr. Biden,related_to,U.S.
vice,related_to,U.S.
vice,related_to,of May 18
vice,related_to,later date
of May 18,related_to,later date
Warsaw,related_to,Poland
German,related_to,Chancellor Angela Merkel
German,related_to,Tomb of Poland 's Unknown Soldier
Chancellor Angela Merkel,related_to,Tomb of Poland 's Unknown Soldier
Afghan,related_to,President Hamid Karzai
Afghan,related_to,Georgian
Afghan,related_to,President Mikheil Saakashvili
Afghan,related_to,Ukrainian
Afghan,related_to,President Viktor Yushchenko
Afghan,related_to,Polish
Afghan,related_to,President Lech Kaczynski
Afghan,related_to,Tuesday evening
President Hamid Karzai,related_to,Georgian
President Hamid Karzai,related_to,President Mikheil Saakashvili
President Hamid Karzai,related_to,Ukrainian
President Hamid Karzai,related_to,President Viktor Yushchenko
President Hamid Karzai,related_to,Polish
President Hamid Karzai,related_to,President Lech Kaczynski
President Hamid Karzai,related_to,Tuesday evening
Georgian,related_to,President Mikheil Saakashvili
Georgian,related_to,Ukrainian
Georgian,related_to,President Viktor Yushchenko
Georgian,related_to,Polish
Georgian,related_to,President Lech Kaczynski
Georgian,related_to,Tuesday evening
President Mikheil Saakashvili,related_to,Ukrainian
President Mikheil Saakashvili,related_to,President Viktor Yushchenko
President Mikheil Saakashvili,related_to,Polish
President Mikheil Saakashvili,related_to,President Lech Kaczynski
President Mikheil Saakashvili,related_to,Tuesday evening
Ukrainian,related_to,President Viktor Yushchenko
Ukrainian,related_to,Polish
Ukrainian,related_to,President Lech Kaczynski
Ukrainian,related_to,Tuesday evening
President Viktor Yushchenko,related_to,Polish
President Viktor Yushchenko,related_to,President Lech Kaczynski
President Viktor Yushchenko,related_to,Tuesday evening
Polish,related_to,President Lech Kaczynski
Polish,related_to,Tuesday evening
President Lech Kaczynski,related_to,Tuesday evening
Polish,related_to,Lech Walesa
Polish,related_to,Independence Day
Lech Walesa,related_to,Independence Day
Europe,related_to,Armistice
Europe,related_to,Day
Europe,related_to,of World War One
Europe,related_to,Poland
Europe,related_to,Russia
Europe,related_to,Prussia
Europe,related_to,Austria
Europe,related_to,1795
Armistice,related_to,Day
Armistice,related_to,of World War One
Armistice,related_to,Poland
Armistice,related_to,Russia
Armistice,related_to,Prussia
Armistice,related_to,Austria
Armistice,related_to,1795
Day,related_to,of World War One
Day,related_to,Poland
Day,related_to,Russia
Day,related_to,Prussia
Day,related_to,Austria
Day,related_to,1795
of World War One,related_to,Poland
of World War One,related_to,Russia
of World War One,related_to,Prussia
of World War One,related_to,Austria
of World War One,related_to,1795
Poland,related_to,Russia
Poland,related_to,Prussia
Poland,related_to,Austria
Poland,related_to,1795
Russia,related_to,Prussia
Russia,related_to,Austria
Russia,related_to,1795
Prussia,related_to,Austria
Prussia,related_to,1795
Austria,related_to,1795
Iran,related_to,Mahmoud Ahmadinejad
Iran,related_to,Saturday
Iran,related_to,Iranian
Mahmoud Ahmadinejad,related_to,Saturday
Mahmoud Ahmadinejad,related_to,Iranian
Saturday,related_to,Iranian
Mr. Ahmadinejad,related_to,Iran
30,related_to,Mr. Ahmadinejad
President Mohammad Khatami,related_to,eight-year
President Ahmadinejad,related_to,Cabinet
New Delhi,related_to,Saturday
U.S Open,related_to,Kim Clijsters
U.S Open,related_to,Belgium
U.S Open,related_to,French
U.S Open,related_to,Nathalie Dechy
U.S Open,related_to,FORTIS Championships
U.S Open,related_to,Luxembourg
Kim Clijsters,related_to,Belgium
Kim Clijsters,related_to,French
Kim Clijsters,related_to,Nathalie Dechy
Kim Clijsters,related_to,FORTIS Championships
Kim Clijsters,related_to,Luxembourg
Belgium,related_to,French
Belgium,related_to,Nathalie Dechy
Belgium,related_to,FORTIS Championships
Belgium,related_to,Luxembourg
French,related_to,Nathalie Dechy
French,related_to,FORTIS Championships
French,related_to,Luxembourg
Nathalie Dechy,related_to,FORTIS Championships
Nathalie Dechy,related_to,Luxembourg
FORTIS Championships,related_to,Luxembourg
Sunday,related_to,Belgian
Sunday,related_to,Germany
Sunday,related_to,Anna-Lena Groenefeld
Sunday,related_to,Dinara Safina
Sunday,related_to,Russia
Belgian,related_to,Germany
Belgian,related_to,Anna-Lena Groenefeld
Belgian,related_to,Dinara Safina
Belgian,related_to,Russia
Germany,related_to,Anna-Lena Groenefeld
Germany,related_to,Dinara Safina
Germany,related_to,Russia
Anna-Lena Groenefeld,related_to,Dinara Safina
Anna-Lena Groenefeld,related_to,Russia
Dinara Safina,related_to,Russia
Clijsters,related_to,26 matches
Clijsters,related_to,season
26 matches,related_to,season
Groenefeld,related_to,before -
Groenefeld,related_to,Stanford
Groenefeld,related_to,California
Groenefeld,related_to,German
before -,related_to,Stanford
before -,related_to,California
before -,related_to,German
Stanford,related_to,California
Stanford,related_to,German
California,related_to,German
The African Union,related_to,Senegalese
The African Union,related_to,Friday
Senegalese,related_to,Friday
Khartoum,related_to,Sudanese
Khartoum,related_to,Senegalese
Khartoum,related_to,Darfur
Sudanese,related_to,Senegalese
Sudanese,related_to,Darfur
Senegalese,related_to,Darfur
Chad,related_to,Sudan
Sudanese,related_to,Chadian
Sudanese,related_to,Adre
Chadian,related_to,Adre
Chad,related_to,Khartoum
Britain,related_to,Prince Charles
Britain,related_to,Camilla
Britain,related_to,White House
Britain,related_to,President
Britain,related_to,Mrs.
Britain,related_to,Bush
Britain,related_to,Wednesday
Britain,related_to,U.S.
Britain,related_to,April
Prince Charles,related_to,Camilla
Prince Charles,related_to,White House
Prince Charles,related_to,President
Prince Charles,related_to,Mrs.
Prince Charles,related_to,Bush
Prince Charles,related_to,Wednesday
Prince Charles,related_to,U.S.
Prince Charles,related_to,April
Camilla,related_to,White House
Camilla,related_to,President
Camilla,related_to,Mrs.
Camilla,related_to,Bush
Camilla,related_to,Wednesday
Camilla,related_to,U.S.
Camilla,related_to,April
White House,related_to,President
White House,related_to,Mrs.
White House,related_to,Bush
White House,related_to,Wednesday
White House,related_to,U.S.
White House,related_to,April
President,related_to,Mrs.
President,related_to,Bush
President,related_to,Wednesday
President,related_to,U.S.
President,related_to,April
Mrs.,related_to,Bush
Mrs.,related_to,Wednesday
Mrs.,related_to,U.S.
Mrs.,related_to,April
Bush,related_to,Wednesday
Bush,related_to,U.S.
Bush,related_to,April
Wednesday,related_to,U.S.
Wednesday,related_to,April
U.S.,related_to,April
Prince of Wales,related_to,Duchess of Cornwall
Prince of Wales,related_to,White House
Prince of Wales,related_to,day
Duchess of Cornwall,related_to,White House
Duchess of Cornwall,related_to,day
White House,related_to,day
Washington,related_to,New Orleans
Tuesday,related_to,New York City
Tuesday,related_to,British
Tuesday,related_to,"September 11 , 2001"
New York City,related_to,British
New York City,related_to,"September 11 , 2001"
British,related_to,"September 11 , 2001"
U.S.,related_to,January
U.S.,related_to,Middle East
January,related_to,Middle East
ABC,related_to,Sunday
ABC,related_to,Senator Joe Lieberman
ABC,related_to,Iraqis
ABC,related_to,Palestinians
Sunday,related_to,Senator Joe Lieberman
Sunday,related_to,Iraqis
Sunday,related_to,Palestinians
Senator Joe Lieberman,related_to,Iraqis
Senator Joe Lieberman,related_to,Palestinians
Iraqis,related_to,Palestinians
Mr. Lieberman,related_to,Iraq
Mr. Lieberman,related_to,Iraqis
Iraq,related_to,Iraqis
Iraq,related_to,U.S.
Iraq,related_to,Iraqi
U.S.,related_to,Iraqi
Iraqi,related_to,Sunni Muslim
Iraq,related_to,January 30
Palestinians,related_to,January 9
Andy Roddick,related_to,United States
Andy Roddick,related_to,Croatia
Andy Roddick,related_to,Ivo Karlovic
Andy Roddick,related_to,Stella Artois
