Subject,Relation,Object,Subject_Type,Object_Type
Germany,related_to,Frenchman Raphael Poiree,geo,org
President Hu Jintao,related_to,Saturday and Sunday,per,tim
British,related_to,Iraqi,gpe,gpe
Venezuelan,related_to,Sunday,gpe,tim
Mr. Clinton,related_to,China,per,geo
Pakistan,related_to,Islamabad,geo,geo
Nightline,related_to,Friday,org,tim
Sunni,related_to,Kurdish,geo,geo
Spanish,related_to,Tuesday,gpe,tim
Maulana Fazlullah,related_to,Muslim,geo,org
Maulana Fazlullah,related_to,Swat,geo,geo
Banny,related_to,President Laurent Gbagbo,org,per
Yugoslav,related_to,President Slobodan Milosevic,gpe,per
Italian,related_to,Asia,gpe,geo
Red Sea,related_to,Islam,geo,geo
Soviet Union,related_to,Kazakhstan,geo,per
English,related_to,Premier League,gpe,geo
President Bush,related_to,Afghanistan,per,geo
South,related_to,Koreans,geo,gpe
Iran,related_to,International Atomic Energy Agency,geo,org
Sunday,related_to,Ou Xinqian,tim,per
DRC,related_to,1990,org,tim
Beirut,related_to,Lebanese,geo,gpe
Zawahiri,related_to,Pakistan,per,geo
International Human Rights,related_to,Day Saturday,org,tim
Wednesday,related_to,Georgia,tim,geo
American,related_to,U.S.,gpe,geo
Vienna,related_to,Austrian,geo,gpe
North Korea,related_to,the South,geo,geo
U.S.,related_to,'s Eid al-Fitr holiday,geo,tim
July 21,related_to,U.S.,tim,geo
Detroit,related_to,Wednesday,geo,tim
Wednesday,related_to,Nangarhar and Kunar,tim,org
Cuban,related_to,New York,gpe,geo
China,related_to,India,geo,geo
Lebanese,related_to,May 20,gpe,tim
International Atomic Energy Agency,related_to,Iran,org,geo
Sunday,related_to,Turkish,tim,gpe
Pakistan,related_to,April,gpe,tim
Russian,related_to,President Vladimir Putin,gpe,per
Sunday,related_to,Mount Zigana,tim,org
New Orleans,related_to,Saturday,geo,tim
Sunday,related_to,Monday,tim,tim
Venezuelan,related_to,President Chavez,gpe,per
Mr. Caldera,related_to,Hugo Chavez,per,per
multi-count,related_to,Li Fang Wei,tim,per
Indonesian,related_to,Aceh,gpe,geo
Aung Din,related_to,U.S. Campaign for Burma,per,org
Thursday,related_to,Interim Prime Minister Ali Mohamed Gedi,tim,per
Condoleezza Rice,related_to,Middle East,per,geo
Taleban,related_to,Afghan,org,gpe
Guardsmen,related_to,Tikrit,per,geo
Iran,related_to,Iran,geo,geo
U.S. Central Intelligence Agency,related_to,Thailand,org,geo
Wal-Mart,related_to,United Kingdom,org,geo
Russian,related_to,Tony Blair,gpe,per
April 2010,related_to,BAKIEV,tim,org
Italians,related_to,Niger,gpe,gpe
President Bush,related_to,Texas,per,geo
english,related_to,Daily Mirror,art,art
Mr. Mubarak,related_to,Kurds,per,org
Tunceli,related_to,Turkish,geo,gpe
Saturday,related_to,Finnish,tim,gpe
Egyptian,related_to,Health Ministry,gpe,org
London,related_to,July 7,geo,tim
Afghanistan,related_to,Tuesday,gpe,tim
The International Criminal Tribunal,related_to,Monday,org,tim
Kofi Annan,related_to,Tamil,per,org
Argentina,related_to,the Caribbean,geo,geo
Dominik Hrbaty,related_to,Australia,per,geo
Mr.,related_to,Olmert,per,org
Niger,related_to,Cat,gpe,org
Finland,related_to,recent,per,tim
Italy 's,related_to,Afghanistan,org,geo
Tuesday,related_to,President Bush,tim,per
Red Cross,related_to,Pakistan,org,geo
U.S.,related_to,Wednesday,geo,tim
Iraqi,related_to,Party,gpe,org
Afghan,related_to,Kabul,gpe,org
United States,related_to,Russia,geo,geo
Pakistan,related_to,Karachi,geo,geo
Sudan,related_to,Ivory Coast,geo,geo
Israeli,related_to,Gaza Strip,gpe,geo
Williams,related_to,his 24,per,tim
U.S.,related_to,Iraq,geo,geo
Iraq,related_to,Imam Hussein,geo,per
Ukrainian,related_to,Iraq,gpe,geo
Pakistani,related_to,Karachi,gpe,geo
NATO,related_to,Russia,org,geo
Cuba,related_to,President Hugo Chavez,geo,per
Macedonia,related_to,Greece,gpe,org
Wednesday,related_to,EU,tim,org
Tuesday,related_to,General Musharraf,tim,org
Afghanistan,related_to,2001,geo,tim
Senator,related_to,John McCain,per,org
Mr. Talabani,related_to,American,per,org
Saddam,related_to,Hashim Ahmad,org,per
Latin America,related_to,Europe,geo,geo
Mr.,related_to,Goss,per,geo
Ugandan,related_to,eastern Uganda,gpe,geo
State Department,related_to,Syria,org,geo
Friday,related_to,Baghdad,tim,geo
Elton John,related_to,Happy Birthday,per,org
U.S.,related_to,China,geo,geo
Yushchenko,related_to,September,org,tim
Yushchenko,related_to,Ukraine,geo,geo
The LVF,related_to,Sunday,org,tim
NATO,related_to,Saturday,org,tim
Mr. Erdogan,related_to,President Mahmoud Ahmadinejad,per,per
Tokyo,related_to,Indonesia,geo,geo
Taleban,related_to,Saturday evening,org,tim
Friday,related_to,U.S. Embassy,tim,org
Wednesday,related_to,Tehran,tim,org
U.S.,related_to,al-Qaida,geo,org
Kosovo Liberation Army,related_to,Selim Krasniqi,org,per
President Bush,related_to,Wednesday,per,tim
Russian,related_to,President,gpe,per
United Nations Secretary-General,related_to,U.N.,org,geo
World Health Organization,related_to,Java island,org,geo
China,related_to,Xinhua,geo,geo
Macau,related_to,2009,geo,tim
Saddam,related_to,Dujail,per,geo
Iraq,related_to,U.S.,geo,geo
Prime Minister Benazir Bhutto,related_to,Pakistan People 's Party,per,org
one-China,related_to,China,geo,geo
South Korea,related_to,Saturday,geo,tim
The Center for Constitutional Rights,related_to,Federal Prosecutor,org,org
Ivory Coast,related_to,France,geo,geo
Iraq,related_to,Arab,geo,gpe
Sunday,related_to,Pentagon,tim,org
Honduras,related_to,San Andres,geo,geo
2012,related_to,Maastricht Treaty,tim,org
China,related_to,Macau,org,geo
Mr. Obama,related_to,Washington,per,geo
President Karzai,related_to,May 21,per,tim
U.S.,related_to,Iraqis,geo,gpe
Mercosur,related_to,Paraguay,org,geo
Sudan,related_to,Sudanese,gpe,gpe
Chinese,related_to,Taipei,gpe,geo
Prime Minister Ehud Olmert,related_to,Syria,per,geo
China,related_to,Russia,geo,geo
Turks,related_to,11th - 13th,gpe,tim
Ericq Pierre,related_to,Sunday,per,tim
Rice,related_to,President Bush,per,per
Beijing,related_to,week-long May Day,geo,tim
African Union,related_to,El Fasher,geo,per
Pakistani,related_to,North Waziristan,gpe,geo
London,related_to,Paris,geo,geo
Maharashtra,related_to,outbreaks,geo,tim
Pakistani,related_to,Hakimi,gpe,geo
Israeli,related_to,January 4,gpe,tim
Argentina,related_to,18th century priest,geo,tim
Wednesday,related_to,January 22,tim,tim
Nikolay Davydenko,related_to,2009,per,tim
Israel,related_to,Palestinians,geo,gpe
U.N.,related_to,Minister Vuk Draskovic,org,per
Britain,related_to,Germany,geo,geo
Prime,related_to,Indian,per,gpe
Russia,related_to,Japan,gpe,gpe
Paris,related_to,French,geo,gpe
U.S.,related_to,Baghdad,geo,geo
Taleban,related_to,Pakistan,org,geo
Europe,related_to,Stockholm,geo,geo
Brazil,related_to,Gwyneth,geo,per
President Bush,related_to,Prime Minister Junichiro Koizumi,per,per
Palestinian,related_to,Lebanon,gpe,geo
Pictures Entertainment Inc.,related_to,Tuesday,org,tim
2005,related_to,BAKIEV,tim,org
NATO,related_to,Friday,org,tim
General Mohammed Daoud,related_to,first five,org,tim
Egyptians,related_to,Egyptian,gpe,gpe
Friday Ecuador,related_to,President Lucio Gutierrez,tim,per
al-Hindi,related_to,Tuesday,per,tim
two,related_to,February,tim,tim
Billingslea,related_to,NATO,per,org
European Union,related_to,EU,org,org
Republic,related_to,Germany,geo,geo
U.S. Defense Department,related_to,Paul Swiergosz,org,per
Iran,related_to,Iranian,geo,gpe
Maharashtra,related_to,Bombay,geo,geo
Thursday,related_to,Kunduz,tim,geo
U.S.,related_to,Iraq,geo,geo
London,related_to,Paris,geo,geo
Thursday,related_to,Afghan,tim,gpe
KIM Jong Il,related_to,KIM Jong Un,per,org
Prime,related_to,one,per,tim
Wednesday,related_to,April,tim,tim
Fatah,related_to,Hamas,org,org
8.15,related_to,time,tim,tim
United States,related_to,within one,geo,tim
Palestinian,related_to,Gaza Strip,gpe,geo
Duma,related_to,Friday,geo,tim
1993,related_to,23,tim,tim
Sunni Arab,related_to,Baghdad,per,geo
Xinhua,related_to,U.N.,geo,geo
Uruzgan,related_to,Zabol,geo,geo
Palestinians,related_to,Lebanese,gpe,gpe
Warner,related_to,University of Virginia,per,org
Total,related_to,U.S.-based Chevron,geo,org
Greece,related_to,2001,org,tim
2006,related_to,Millennium Challenge Corporation,tim,org
Palestinians,related_to,Gaza Strip,gpe,org
U.S.-based Human Rights,related_to,Shanghai,org,geo
John Garang,related_to,Darfur,per,geo
Haitian,related_to,Mr. Preval,gpe,per
Palestinian,related_to,Hamas,gpe,org
President Bush,related_to,Chilean,per,gpe
Tony Blair,related_to,Iraq,per,geo
Hamas,related_to,June,org,tim
Minister Karl Theodor zu Guttenberg,related_to,General Wolfgang Schneiderhan,per,org
1755 earthquake,related_to,Napoleonic Wars,tim,org
minister Li Hui,related_to,President Vladimir Putin,per,per
Friday,related_to,Ethiopian,tim,gpe
U.S.,related_to,NATO,gpe,org
U.S. Embassy,related_to,Haiti,org,geo
Israeli,related_to,Prime Minister Benjamin Netanyahu,gpe,per
Mr. Annan,related_to,U.N.,per,org
Britain,related_to,Iran,geo,geo
U.S.,related_to,New Orleans,geo,geo
Tzipi Livni,related_to,Sunday,per,tim
Kempthorne,related_to,Empire State Building - New,org,org
United States,related_to,January poll,geo,tim
Israeli,related_to,Palestinian,gpe,gpe
Will,related_to,Date Doctor,per,art
Germany,related_to,Tehran,geo,geo
U.S.,related_to,Afghan,geo,gpe
Rameez Junaid,related_to,Australia,per,geo
Egypt,related_to,Tuesday,geo,tim
U.S.,related_to,Kandahar,geo,geo
Afghan,related_to,U.S.,gpe,geo
Indian,related_to,India,geo,geo
Latin America,related_to,"1960s , 1970s",geo,tim
Aung San Suu Kyi,related_to,since 2003,geo,tim
South Korea,related_to,China,geo,geo
Venezuelan,related_to,1985,gpe,tim
Panama,related_to,"August 26 , 2004",geo,tim
British,related_to,India,gpe,org
Jersey,related_to,England,per,geo
Russian,related_to,November 13,gpe,tim
China,related_to,Japanto,geo,geo
Sochi,related_to,September,geo,tim
African,related_to,United Democratic Party,gpe,org
Goldman Environmental Prize,related_to,Goldman,org,per
U.N. Security Council,related_to,December,org,tim
Tuesday,related_to,IAEA,tim,org
Pakistani,related_to,December,gpe,tim
two,related_to,Bucharest,tim,geo
Tuesday,related_to,U.S.,tim,geo
Stein,related_to,south of Baghdad,per,geo
Swiss,related_to,Roger Federer,gpe,per
State Department,related_to,China,org,geo
Robert Dudley,related_to,Russia,per,geo
Israel,related_to,Israel,geo,geo
Sudeten,related_to,Germans,org,gpe
President,related_to,Rice,per,per
English,related_to,Danish,gpe,gpe
Olusegun Obasanjo,related_to,Sunday,per,tim
1947,related_to,Pakistan,tim,geo
Minister Siti Fadilah Supari,related_to,Tuesday,per,tim
Sri,related_to,Lanka,per,gpe
Kosovo,related_to,U.S.,tim,geo
1838,related_to,South Pacific,tim,geo
Human Right Watch,related_to,16,org,tim
Iraqi,related_to,Baghdad,gpe,geo
Asia,related_to,Nikkei,geo,geo
Iraqi,related_to,Iraq,gpe,geo
Friday,related_to,Saturday,tim,tim
The Red Cross,related_to,Pentagon,org,org
Polish,related_to,Poland,gpe,geo
Cuba,related_to,US embargo,geo,geo
China,related_to,today,geo,tim
Congress,related_to,Afghanistan,org,geo
Vincent van Gogh,related_to,Saturday,per,tim
Security Council,related_to,France,org,geo
London,related_to,Tuesday,geo,tim
Mohamed Abdelaziz,related_to,Nigerian,per,gpe
Jalalabad,related_to,Pakistan,geo,geo
Kenyan,related_to,Kenya,gpe,per
International Committee,related_to,Red Cross,org,geo
U.S.,related_to,Vioxx,geo,art
Indonesian,related_to,Minister Hasan Wirayuda,gpe,per
Berlin,related_to,Iraq,geo,geo
Vladimir Putin,related_to,Soviet Union,per,geo
U.S.,related_to,Francis Ford Coppola,geo,per
Year Ronaldinho,related_to,Brazil,org,geo
Israeli,related_to,Israeli,gpe,gpe
Sri,related_to,Lanka,per,gpe
Milosevic,related_to,Pozarevac,per,geo
United States,related_to,Iran,geo,geo
Cubans,related_to,U.S.,gpe,geo
Michael Masser,related_to,Teddy Randazzo,per,per
White House Rose Garden,related_to,Regina Benjamin,art,per
African,related_to,Ivory Coast,gpe,geo
Mr.,related_to,Allawi 's bloc,per,org
Magyarization,related_to,Slovak,org,gpe
Wednesday,related_to,January,tim,tim
European lawmakes,related_to,Porter Goss,org,per
since 2003,related_to,Asians,tim,gpe
U.N.,related_to,Darfur,geo,geo
Palestinian,related_to,Palestinian,gpe,gpe
John,related_to,Venezuelan,per,gpe
Serb,related_to,Srebrenica,gpe,geo
Jews,related_to,past,per,tim
1975,related_to,1973 - 1990,tim,tim
Markko Martin,related_to,Estonia,per,geo
Israeli,related_to,Security Agency,gpe,org
Chinese,related_to,U.S.,gpe,geo
November,related_to,Holocaust,tim,org
al-Qaida,related_to,Iraq,org,geo
Venezuela,related_to,September 10,geo,tim
Pakistan,related_to,Afghanistan,geo,geo
U.S.,related_to,Gaza Strip,org,geo
Monday,related_to,Prime Minister Jose Luis Rodriguez Zapatero,tim,per
Prime,related_to,Viktor Yanukovych,per,per
Chaudhry Mohammed Yaqoob,related_to,overnight,per,tim
Iraq,related_to,Thursday,geo,tim
New York,related_to,Human Rights Watch,geo,org
Mr. Chavez,related_to,Venezuela,per,geo
Ambassador Joe Sullivan,related_to,Louisiana,org,geo
Nicaragua,related_to,Central American Free Trade Agreement,geo,art
Kofi Annan,related_to,President Mwai Kibaki,per,per
Beijing,related_to,North Korea,geo,geo
Palestinian,related_to,two,gpe,tim
United States,related_to,Middle East,geo,geo
Greek,related_to,U.S.,gpe,geo
Xinhua,related_to,Thursday,geo,tim
Friday,related_to,2011,tim,tim
Iraqi,related_to,Kirkuk Tuesday,gpe,tim
Noaman Gomaa,related_to,Saturday,per,tim
Hormuz,related_to,Strait,geo,geo
Senate,related_to,Hamas,org,org
Sunday,related_to,Senators,tim,org
May 2006,related_to,January 2007,tim,tim
Thursday,related_to,China,tim,geo
Pakistan,related_to,past four,geo,tim
European Union,related_to,Europe,org,geo
Egyptian,related_to,President Hosni Mubarak,gpe,per
East Coast,related_to,Florida,geo,geo
Belgrade,related_to,two,geo,tim
Indian,related_to,Dragmulla,gpe,geo
Palestinian,related_to,Palestinian,org,gpe
American,related_to,Chrysler,gpe,org
India,related_to,India,geo,geo
Stop TB Department,related_to,WHO,org,org
Frankfurt,related_to,Asia,geo,geo
Australia,related_to,South Korea,geo,geo
Mr. Fujimori,related_to,Peru,per,geo
in November,related_to,Iraq,tim,geo
August 31,related_to,Iran,tim,geo
Friday,related_to,Christmas Eve,tim,geo
Medvedev,related_to,Ukraine,per,geo
eastern Afghanistan,related_to,Saturday,geo,tim
Egypt,related_to,Pakistan,geo,geo
Fatah,related_to,Hamas,geo,org
Palestinian,related_to,Middle East,gpe,geo
Indonesia,related_to,Aceh,geo,geo
Red Cross,related_to,1990s,org,tim
PAN,related_to,31,org,tim
South Korea,related_to,Pakistan,geo,geo
November,related_to,Sunni,tim,geo
Robben Island,related_to,President Nelson Mandela,geo,per
1860s,related_to,Central Asia,tim,geo
Aceh,related_to,U.S. Geological Survey,geo,org
Europeans,related_to,Gaza City,gpe,geo
U.N. Secretary-General,related_to,U.N.,org,geo
Abdel Hussein al-Hindawi,related_to,Saturday,per,tim
Mr.,related_to,al-Yousifi,per,geo
Japan,related_to,Germany,geo,geo
Hebron,related_to,Palestinian,geo,gpe
Moscow,related_to,Russia,geo,geo
Chile,related_to,President Alberto Fujimori,geo,per
Tuesday,related_to,Minister Miguel Angel Moratinos,tim,per
Toluca,related_to,Friday,geo,tim
New York Times,related_to,Defense Department,org,org
U.S.,related_to,Jordan,geo,gpe
Pakistan,related_to,Karachi,geo,per
Kurdistan Workers Party,related_to,Turkish,org,gpe
Saddam Hussein,related_to,Wednesday,per,tim
North,related_to,Iraqi,geo,gpe
Chahine,related_to,Alexandria,per,geo
Middle East,related_to,Israel,geo,gpe
Catherine Drew,related_to,England,per,geo
tsunami that,related_to,Indian Ocean,tim,geo
Abbas,related_to,four,org,tim
Hamas,related_to,Popular Resistance Committee,org,org
Iraq,related_to,Ramadi,geo,geo
German,related_to,Soviet Union,gpe,geo
U.N.,related_to,Thursday,org,tim
Japanese,related_to,Japan,gpe,geo
Gaza,related_to,West Bank,geo,geo
King Norodom SIHANOUK,related_to,Prince Norodom SIHAMONI,org,org
Omar,related_to,Afghanistan,per,geo
U.N. Covenant,related_to,Corruption,org,org
Afghan,related_to,Pakistan,gpe,geo
Monday,related_to,House of Commons,tim,org
Uzbeks,related_to,Osh,gpe,geo
World Health Organization,related_to,Margaret Chan,org,per
National Guard,related_to,Baghdad,org,geo
China,related_to,Xinhua,geo,org
U.S.,related_to,Kosovo,geo,org
MENA,related_to,Safwat Sherif,org,per
Vatican City,related_to,Sunday,geo,tim
Iranian,related_to,France,gpe,geo
Kenyan,related_to,Clinton,gpe,per
Vatican,related_to,Jesus Christ,org,per
General,related_to,Taleban,org,org
England,related_to,EU,geo,org
Shaikh Mohammed,related_to,Mohammed Majid,per,per
European,related_to,2006,org,tim
Monday,related_to,Afghan,tim,gpe
Argentine,related_to,U.S. Open,gpe,org
2009 and 2010,related_to,over two,tim,tim
France,related_to,African Union,geo,org
United States,related_to,France,geo,geo
Taliban,related_to,Muslim Khan,org,per
Abkhaz,related_to,President Vladislav Ardzinba,org,per
Komuri,related_to,Shah Mehmood Qureshi,geo,per
Canadian,related_to,Foreign Minister Lawrence Cannon,gpe,per
India,related_to,Bangladesh,geo,geo
Sunday,related_to,U.S.,tim,geo
Prime Minister Naji Otri,related_to,Wednesday,per,tim
20,related_to,Antarctic Peninsula,tim,geo
British,related_to,19th century,gpe,tim
Shi'ite,related_to,Ashura,org,eve
Germany,related_to,Italy,geo,geo
Lithuania,related_to,May 2004,geo,tim
U.S.,related_to,Poland,geo,geo
September,related_to,North Korea,tim,geo
Japanese,related_to,Chile,gpe,geo
Xinhua,related_to,Monday,org,tim
December 2004,related_to,Mozambique,tim,org
Gates,related_to,Canadian,per,gpe
Obama,related_to,John McCain,per,per
European Union Development,related_to,Iraq,org,geo
Mr. DeLay,related_to,Thursday,per,tim
Afghanistan,related_to,Sunday,geo,tim
Moscow,related_to,Gazprom,geo,org
today,related_to,Christ,tim,tim
February,related_to,Rafik Hariri,tim,per
American,related_to,Briton,gpe,gpe
Germany,related_to,405,geo,tim
AIDS,related_to,U.S.,org,geo
Monrovia,related_to,Liberia,geo,geo
Clinton,related_to,Monday,per,tim
Afghan,related_to,Taliban,gpe,org
Japanese,related_to,World War II,gpe,eve
U.S. State Department,related_to,Christopher Hill,org,per
Serb,related_to,Republic,gpe,geo
Ethiopia,related_to,Somalia,geo,geo
Israeli,related_to,Kfar Darom,gpe,org
Dongfeng,related_to,2009,per,tim
HMAS Stuart,related_to,Sydney Harbor,org,geo
German,related_to,1989,gpe,tim
Israel,related_to,Israel,geo,geo
Mr.,related_to,Yanukovych 's Party of Regions,per,org
Bulgaria,related_to,U.S.,geo,geo
Pisanu,related_to,Italians,per,gpe
President Clinton,related_to,1998,per,tim
Mr. Mubarak,related_to,Heidelberg,per,geo
North Korea,related_to,United States,geo,geo
Textiles and Clothing,related_to,India,org,geo
Kandahar,related_to,Panjwayi,geo,geo
Afghanistan,related_to,Sri,gpe,per
Nigeria,related_to,Haiti,geo,geo
Beckham,related_to,Achilles,per,per
South African,related_to,U.S.,org,geo
Paraguay,related_to,Brazil,geo,geo
Palestinian,related_to,July,gpe,tim
Nepal,related_to,Hindu,gpe,org
September 2004,related_to,Jonathan Idema,tim,per
During four,related_to,Chinese,tim,gpe
African,related_to,President Omar al-Bashir,gpe,per
Thailand,related_to,Malaysia,gpe,geo
2009,related_to,2010,tim,tim
Line Island,related_to,Kiribati,geo,geo
German,related_to,Chancellor Gerhard Schroeder,gpe,per
al-Qaida,related_to,Afghan,org,gpe
Iran,related_to,Iraq,geo,geo
Venezuelan,related_to,Mr. Ahmadinejad,gpe,per
Turkey,related_to,east,org,geo
EU,related_to,later,org,tim
National Committee,related_to,Wednesday,org,tim
Thursday,related_to,Serhiy Holovaty,tim,per
213,related_to,Americans,org,gpe
United Nations,related_to,El Salvador,org,per
NATO,related_to,ISAF,org,org
birth of,related_to,Mr. Bush,tim,per
Jaap de Hoop Scheffer,related_to,Thursday,per,tim
Sean McCormack,related_to,Venezuelan,per,gpe
Interfax News Agency,related_to,Russian,org,gpe
Russian,related_to,south,gpe,geo
Ms.,related_to,Owen,per,org
Iraqi,related_to,Basra,gpe,geo
Japan,related_to,Junichiro Koizumi,geo,per
David Passaro,related_to,and four,per,tim
Ambassador Hussein Haridy,related_to,Pakistani,per,gpe
Japanese,related_to,U.N.,gpe,org
Iraqi,related_to,Syrians,gpe,gpe
Ricardo Alarcon,related_to,Haddad Adel,per,per
Monday,related_to,Syria,tim,geo
Inter American Press Association,related_to,Information,org,org
Later,related_to,International Atomic Energy Agency,tim,org
Wednesday,related_to,Islamist,tim,org
Iraq,related_to,Thursday,geo,tim
Indonesia,related_to,more than,geo,tim
Great Britain,related_to,19th century,geo,tim
President Zardari,related_to,French,per,gpe
Condoleezza Rice,related_to,Iran,per,geo
Tibet,related_to,John Paul,org,per
Saudi Arabia,related_to,Gulf Arab,per,geo
Israeli,related_to,Gaza,gpe,geo
Saudi Arabia,related_to,Sunday,geo,tim
VORONIN,related_to,Communist Party,per,org
Mr. Mubarak,related_to,Middle Eastern,per,geo
Bush,related_to,Asia Pacific Economic Cooperation,geo,org
Mr. Clinton,related_to,president George H.W. Bush,per,per
NATO,related_to,Helmand,org,geo
Suriname,related_to,decade,geo,tim
Israeli,related_to,Prime Minister Ariel Sharon,gpe,per
Air Force,related_to,General Erich Wolf,geo,per
Iraq,related_to,Minister,geo,per
Sweden,related_to,Germany,geo,geo
2008,related_to,Prime Minister Salam FAYYAD,tim,per
Saturday,related_to,President Leonel Fernandez,tim,per
Serb,related_to,Srebrenica,gpe,geo
Gaza,related_to,West Bank,geo,org
European Union,related_to,Moscow,org,geo
Kashmiri,related_to,Pakistan,gpe,geo
February 8,related_to,Egypt,tim,geo
Baghdad,related_to,Senator,geo,per
Tajikistan,related_to,India,geo,geo
Sunday,related_to,Banja Luka,tim,geo
American,related_to,06-Apr,gpe,geo
Baghdad,related_to,Thursday night,geo,tim
Taliban,related_to,Afghanistan,org,geo
Clinton,related_to,Iranians,per,gpe
Donald Rumsfeld,related_to,Christmas Eve,per,tim
Passaro,related_to,U.S.,per,geo
Benedict,related_to,Vatican,per,geo
Palestinian,related_to,Palestinian,gpe,gpe
since 2004,related_to,Sudan,tim,gpe
Iran,related_to,Iranian,geo,gpe
Iran,related_to,Egyptian,geo,gpe
Monday,related_to,Vienna,tim,geo
Mr. Koizumi,related_to,Japan,per,geo
Mr. Egeland,related_to,Maldives,per,geo
Mr.,related_to,Alito,per,geo
London,related_to,and France,geo,org
Dan Halutz,related_to,Lebanon,per,geo
United States,related_to,Iran,geo,geo
II,related_to,Germany,eve,geo
President Jean-Bertrand Aristide,related_to,February,per,tim
Iran,related_to,Parchin,geo,geo
Vietnam,related_to,Cambodia,geo,geo
Somali,related_to,2008,gpe,tim
Palestinian,related_to,Rafah,gpe,geo
Ukrainian,related_to,Beijing Olympics,gpe,eve
U.S,related_to,United States,org,geo
Tuesday,related_to,Highly Indebted Poor Countries Initiative,tim,org
American,related_to,Beijing,gpe,geo
Britain,related_to,Portugal,geo,geo
Norwegian,related_to,Afghan,gpe,gpe
Bush,related_to,Mexicans,per,gpe
Luxembourg,related_to,Austrian,geo,gpe
Saturday,related_to,Miranshah,tim,geo
Tuesday,related_to,U.N. Human Rights Committee,tim,org
Egypt,related_to,Niger,geo,gpe
Shah Mahmood Qureshi,related_to,Ali Zardari,per,per
May 6 to 10,related_to,Russia,tim,geo
General Musharraf,related_to,Manmohan Singh,org,per
Afghanistan,related_to,Uzbekistan,geo,geo
Israeli,related_to,Hamas,gpe,org
Croatia,related_to,Davis Cup,geo,per
Peace Memorial Ceremony,related_to,August 6,org,tim
Muslim-Croat Federation,related_to,Croat,org,gpe
United Nations Environmental Program,related_to,Tegua,org,geo
Indonesian,related_to,Jakarta,gpe,geo
Friday,related_to,Tikrit,tim,geo
Palestinians,related_to,Friday,gpe,tim
Tehran,related_to,Nuclear Non-Proliferation,org,org
Ecuador,related_to,recent,gpe,tim
Yellow Sea,related_to,Jeungsan County,geo,geo
Afghanistan,related_to,Kunar,tim,geo
Victoria,related_to,1973,geo,tim
U.S. Defense Department,related_to,Korean,org,gpe
August 2006,related_to,Gulf,tim,geo
VOA,related_to,Mil Arcega,org,per
Tokyo,related_to,two-day,geo,tim
Kurdish,related_to,TAK,org,org
Mowlam,related_to,Friday morning,org,tim
Afghanistan,related_to,1992,geo,tim
Mr. Kim,related_to,three-day,per,tim
Palestine Hotel,related_to,Taras Portsyuk,geo,per
U.S.,related_to,Venezuelan,geo,gpe
FIFA,related_to,Italy,org,geo
Israel,related_to,Palestinian,geo,gpe
Cuba,related_to,later,geo,tim
Taleban,related_to,Kabul,org,org
Saturday,related_to,Heilongjiang,tim,geo
-,related_to,Afghanistan,tim,gpe
Mr. Rumsfeld,related_to,Artillery Corps,per,org
Russia,related_to,Chechen,gpe,gpe
Russian,related_to,Unified Energy Systems,gpe,org
National Basketball Association 's New Orleans Hornets,related_to,Los Angeles Lakers,org,org
19th,related_to,Atlantic,tim,geo
Iraqi,related_to,Ramadi,gpe,geo
President Raul Castro,related_to,Cuba,per,geo
Sarkozy,related_to,Mr. Chirac,per,per
EU,related_to,Ukraine,org,geo
European Union Health,related_to,120,org,tim
Iraqi,related_to,U.S.,gpe,geo
Bolivia,related_to,Cuba,geo,geo
Tuesday,related_to,Yakov Chernikhov,tim,per
Mrs. Kumaratunga,related_to,Sunday,per,tim
Jamaica,related_to,Federation,gpe,org
United States,related_to,Republic,geo,geo
Iraq,related_to,Cuba,geo,geo
Sunday,related_to,Mr. Asefi,tim,per
Taliban,related_to,Swat Valley,org,geo
Honduras,related_to,Dominican Republic,org,org
Poland,related_to,Iraq,geo,geo
Taliban,related_to,U.S.,org,geo
UK,related_to,Akrotiri,org,geo
Prime,related_to,White House,per,org
one-day,related_to,Abkhazia,tim,geo
2004,related_to,Eldawoody,tim,geo
Carlos,related_to,Elsa,per,per
Mr. Morales,related_to,Bolivia,per,geo
Secretary John Snow,related_to,U.S.,per,geo
U.S.,related_to,Iraqi,geo,gpe
Sudanese,related_to,Monday,gpe,tim
two U.S,related_to,Iraqis,tim,gpe
France,related_to,Tehran,geo,geo
's Eid al-Fitr holiday,related_to,Muslim holy,tim,tim
President Bush,related_to,May,per,tim
New Year 's,related_to,Day,org,tim
Ould Hamma,related_to,al-Qaida,per,org
Mr. Nastase,related_to,Basescu,per,org
Court of Arbitration for Sport,related_to,German,org,gpe
Jens Stoltenberg,related_to,Nobel-Prize,per,art
Hilda Solis,related_to,California,per,geo
ABC,related_to,"September 11 , 2001",org,tim
Tropical Storm Rita,related_to,Gulf of Mexico south of New Orleans,nat,geo
United Arab Emirates,related_to,Baghdad,geo,geo
March 28,related_to,Israeli,tim,gpe
35,related_to,Chaco,tim,geo
Oresund,related_to,Turkey,geo,org
Lleyton Hewitt,related_to,Thursday,per,tim
Sonntags-Blick,related_to,Macedonia,art,geo
PSLAV,related_to,India,org,geo
French,related_to,90,gpe,tim
World Health Organization,related_to,Angola,org,geo
Fats Domino,related_to,New Orleans,per,geo
Sunday,related_to,Palestinian,tim,gpe
Indian,related_to,Chinese,gpe,gpe
Sunni,related_to,Ramadi and Kirkuk,org,org
